"code","seats"
"ADD",8100
"ADZ",461573
"AEP",177372
"AGT",16272
"AJU",101470
"AMS",46722
"APO",10582
"ASU",83173
"ATL",71656
"AUA",216149
"AUC",44588
"AUH",45697
"AXM",233182
"BAQ",788231
"BCN",95905
"BEL",114944
"BGA",622840
"BGI",6870
"BLA",229175
"BLB",49941
"BNS",25790
"BOG",403139
"BPS",74063
"BRM",227776
"BSB",240295
"BUN",14245
"BZE",24972
"CAC",27803
"CBB",7703
"CCS",254467
"CDG",206747
"CGB",146628
"CGR",93743
"CLO",1381541
"CMN",17040
"CNF",270947
"COR",27717
"CTG",1017339
"CUC",446568
"CUM",45135
"CUN",201918
"CUR",65918
"CWB",350929
"CZE",14456
"CZU",19064
"DFW",62789
"DOH",44548
"DOU",6767
"DTW",13421
"DXB",56473
"EJA",88782
"EOH",99113
"EWR",77880
"EYP",189714
"EZE",328521
"FCO",55545
"FLA",69552
"FLL",102373
"FLN",212796
"FNC",1659
"FOR",313467
"FRA",129600
"GIG",328350
"GRU",118424
"GUA",258576
"GYE",169173
"GYN",138187
"HAV",88875
"IAD",123750
"IAH",188769
"IBE",89124
"IGU",126305
"IOS",11552
"IST",61088
"IZA",3150
"JDO",16254
"JFK",199079
"JNB",39289
"JOI",25448
"JPA",78561
"JTC",20274
"LAD",17755
"LAX",137150
"LCE",6372
"LDB",39426
"LET",107454
"LFR",10315
"LHR",179585
"LIM",847899
"LIR",14892
"LIS",57988
"LMC",3888
"LPB",25320
"LRV",33582
"LSP",77498
"MAD",516819
"MAO",118327
"MAR",455171
"MCO",102986
"MCZ",164123
"MDE",1745862
"MDZ",5244
"MEX",429720
"MGA",81352
"MGF",33342
"MIA",617450
"MTR",265186
"MUC",27145
"MUN",171488
"MVD",112878
"MVP",2716
"MXP",35863
"MZL",179770
"NAT",118230
"NVA",172253
"NVT",58811
"OPO",11274
"ORD",47292
"PCR",19102
"PDA",11584
"PDP",2610
"PEI",478228
"PFB",7080
"PLU",9800
"PMV",627167
"POA",393137
"POS",53846
"PPB",29856
"PPN",67312
"PSO",146856
"PTX",7398
"PTY",734065
"PUJ",125835
"PUU",35249
"PVH",6159
"PYH",16224
"PZO",314226
"RAO",41474
"RCH",77750
"REC",361184
"RNG",1750
"ROS",24912
"RTB",75380
"RVE",9719
"SAL",128794
"SAP",44836
"SCL",639997
"SDQ",155446
"SDU",211059
"SFD",4552
"SFO",35880
"SJE",11742
"SJO",250293
"SJP",10385
"SJU",28330
"SLZ",61167
"SMR",522486
"SOM",19968
"SSA",424941
"STD",150245
"TCO",12735
"TGU",162928
"THE",45549
"UBA",2948
"UDI",27538
"UIB",51632
"UIO",165918
"VDC",9179
"VGZ",19693
"VIG",191261
"VIX",164829
"VLN",25344
"VLV",1326
"VUP",179314
"VVC",62137
"VVI",34880
"YYZ",55997
"ZRH",34602
