"","state","seats"
"1","AK",2
"2","AL",2
"3","AR",5
"4","AZ",32
"5","CA",516
"6","CO",53
"7","CT",7
"8","DC",188
"9","FL",3451
"10","GA",328
"11","HI",14
"12","IA",4
"13","IL",181
"14","IN",14
"15","KS",3
"16","KY",7
"17","LA",32
"18","MA",67
"19","MD",58
"20","ME",2
"21","MI",65
"22","MN",24
"23","MO",20
"24","MS",3
"25","MT",87
"26","NC",126
"27","ND",1
"28","NH",1
"29","NJ",198
"30","NM",6
"31","NV",60
"32","NY",1087
"33","OH",30
"34","OK",12
"35","OR",12
"36","PA",61
"37","PR",109
"38","RI",2
"39","SC",10
"40","TN",23
"41","TX",1144
"42","UT",17
"43","VA",6
"44","VI",6
"45","VT",1
"46","WA",24
"47","WI",5
"48","WV",2
"49","WY",1
