"","state","sum_occur","case_count"
"1","AK",2,0
"2","AL",23,2
"3","AR",12,0
"4","AZ",89,1
"5","CA",1490,9
"6","CO",118,2
"7","CT",20,0
"8","DC",549,3
"9","FL",7045,32
"10","GA",838,7
"11","HI",35,0
"12","IA",11,3
"13","IL",446,3
"14","IN",19,1
"15","KS",8,1
"16","KY",12,1
"17","LA",79,2
"18","MA",148,0
"19","MD",154,3
"20","ME",5,1
"21","MI",124,1
"22","MN",98,1
"23","MO",42,1
"24","MS",18,0
"25","MT",49,1
"26","NC",268,5
"27","ND",3,0
"28","NE",6,2
"29","NH",4,1
"30","NJ",588,1
"31","NM",17,0
"32","NV",162,0
"33","NY",1584,7
"34","OH",90,4
"35","OK",21,2
"36","OR",29,2
"37","PA",180,6
"38","PR",101,0
"39","RI",8,0
"40","SC",24,0
"41","SD",1,0
"42","TN",76,1
"43","TX",4197,13
"44","UT",33,1
"45","VA",20,0
"46","VI",4,0
"47","VT",1,0
"48","WA",58,2
"49","WI",26,0
"50","WV",3,1
"51","WY",3,0
"52","DE",0,1
"53","unknown",0,1
