"date","count"
2016-01-01,283746
2016-01-02,342101
2016-01-03,357307
2016-01-04,369411
2016-01-05,346396
2016-01-06,340989
2016-01-07,341110
2016-01-08,348816
2016-01-09,312773
2016-01-10,328124
2016-01-11,342764
2016-01-12,329803
2016-01-13,335870
2016-01-14,337575
2016-01-15,345471
2016-01-16,307588
2016-01-17,321369
2016-01-18,339412
2016-01-19,327884
2016-01-20,334335
2016-01-21,336423
2016-01-22,344159
2016-01-23,306404
2016-01-24,322104
2016-01-25,338786
2016-01-26,327147
2016-01-27,333611
2016-01-28,335882
2016-01-29,343523
2016-01-30,305584
2016-01-31,321116
2016-02-01,414688
2016-02-02,399688
2016-02-03,407133
2016-02-04,410419
2016-02-05,420628
2016-02-06,370405
2016-02-07,381214
2016-02-08,407098
2016-02-09,393887
2016-02-10,401860
2016-02-11,405406
2016-02-12,411605
2016-02-13,366890
2016-02-14,383377
2016-02-15,404134
2016-02-16,391244
2016-02-17,398022
2016-02-18,399521
2016-02-19,408813
2016-02-20,364965
2016-02-21,376843
2016-02-22,396062
2016-02-23,384612
2016-02-24,391724
2016-02-25,393162
2016-02-26,402319
2016-02-27,359642
2016-02-28,376305
2016-02-29,396041
2016-03-01,381438
2016-03-02,386013
2016-03-03,388614
2016-03-04,398179
2016-03-05,356354
2016-03-06,372777
2016-03-07,392403
2016-03-08,381453
2016-03-09,385634
2016-03-10,387872
2016-03-11,397138
2016-03-12,354924
2016-03-13,340353
2016-03-14,358118
2016-03-15,350432
2016-03-16,355844
2016-03-17,357990
2016-03-18,364815
2016-03-19,328053
2016-03-20,340952
2016-03-21,356145
2016-03-22,348353
2016-03-23,353828
2016-03-24,354477
2016-03-25,355898
2016-03-26,322945
2016-03-27,242621
2016-03-28,263119
2016-03-29,261157
2016-03-30,265807
2016-03-31,268542
2016-04-01,274723
2016-04-02,245431
2016-04-03,240844
2016-04-04,258401
2016-04-05,241527
2016-04-06,246288
2016-04-07,248663
2016-04-08,253100
2016-04-09,228248
2016-04-10,229632
2016-04-11,247406
2016-04-12,242432
2016-04-13,247185
2016-04-14,249772
2016-04-15,254207
2016-04-16,228425
2016-04-17,230246
2016-04-18,248043
2016-04-19,242833
2016-04-20,247502
2016-04-21,249821
2016-04-22,253978
2016-04-23,228273
2016-04-24,230477
2016-04-25,248555
2016-04-26,243763
2016-04-27,248018
2016-04-28,250629
2016-04-29,254696
2016-04-30,228628
2016-05-01,228174
2016-05-02,246061
2016-05-03,241556
2016-05-04,246048
2016-05-05,248442
2016-05-06,252458
2016-05-07,228031
2016-05-08,230521
2016-05-09,250276
2016-05-10,246780
2016-05-11,250099
2016-05-12,253209
2016-05-13,257770
2016-05-14,230580
2016-05-15,231995
2016-05-16,249533
2016-05-17,247022
2016-05-18,250865
2016-05-19,252743
2016-05-20,257364
2016-05-21,230562
2016-05-22,232754
2016-05-23,251868
2016-05-24,248842
2016-05-25,251936
2016-05-26,253763
2016-05-27,257915
2016-05-28,231257
2016-05-29,231276
2016-05-30,252811
2016-05-31,250325
2016-06-01,252143
2016-06-02,253684
2016-06-03,258172
2016-06-04,232100
2016-06-05,233956
2016-06-06,252809
2016-06-07,249911
2016-06-08,252570
2016-06-09,254717
2016-06-10,259099
2016-06-11,233435
2016-06-12,234698
2016-06-13,251618
2016-06-14,249771
2016-06-15,252560
2016-06-16,253702
2016-06-17,258217
2016-06-18,232667
2016-06-19,234032
2016-06-20,252644
2016-06-21,249159
2016-06-22,251831
2016-06-23,253802
2016-06-24,257604
2016-06-25,232895
2016-06-26,233672
2016-06-27,252102
2016-06-28,249207
2016-06-29,251576
2016-06-30,254090
